queue,priority,language,subcategory,subject,text
SOFTWARE,LOW,ES,API Security,Solicitud para posible actualización,"Hola equipo de soporte, primero que todo, quería felicitarlos por el buen trabajo con API Security; realmente me ha funcionado muy bien. Por otro lado, estoy considerando hacer una actualización de mi sistema pronto. ¿Podríamos revisar si hay opciones disponibles? No es urgente, así que no se apresuren. ¡Gracias de antemano! Saludos, Juan Pérez"
SOFTWARE,HIGH,EN,Ticketing System,URGENT: OTOBO 10.1.7 - Critical Security Issue Detected,I have discovered a critical security vulnerability in OTOBO 10.1.7 that could potentially allow unauthorized access to customer data. This needs immediate attention because we use OTOBO as our primary customer support system. Kindly provide a security patch or solution ASAP. Customer No: 54278.
HARDWARE,MEDIUM,FR,Smart-Kräutergarten,Problème avec Smart-Kräutergarten,"Bonjour, j'ai remarqué un problème avec mon Smart-Kräutergarten. Le capteur de lumière semble ne pas fonctionner correctement. Pourriez-vous vérifier si une mise à jour est nécessaire? Merci."
SOFTWARE,MEDIUM,DE,Inventor,Anfrage: Update auf Inventor 2023,"Sehr geehrtes Support-Team, ich benötige ein Update meiner Inventor-Software auf die neueste Version. Bitte lassen Sie mir die Details zukommen. Danke!"
HARDWARE,LOW,DE,Port Replicator,Änderungswunsch für meine Rechnung,"Hallo, ich benutze den Hardware Port Replicator und wollte fragen, ob es möglich wäre, meine nächste Rechnung unter einem anderen Unternehmens- namen ausstellen zu lassen. Es ist nicht eilig, ich wäre sehr dankbar, wenn dies vorbereitet werden könnte. Besten Dank im Voraus!"
ACCOUNTING,LOW,EN,Employee Inquiries::Technical::Hardware Issues,Request to Change Company Name on Next Invoice,"Hi Support Team,

I've noticed a small discrepancy in the company name on my invoices. Could you please update it to 'Sunrise Tech Corp' for future invoices? Additionally, I might need a technical update for my system soon but there's no hurry. Thanks for your help!

Best regards,
John D."
SOFTWARE,HIGH,DE,Data Privacy,Data Privacy - Kritischer Bug erlaubt unautorisierten Zugriff,Seit dem letzten Update kann jeder auf unsere sensible Daten zugreifen! Dringend ein Fix oder Anleitung zum Rücksetzen der Version benötigt.
ACCOUNTING,MEDIUM,ES,Employee Inquiries::IT Support,Consulta sobre oferta de desarrollo de software,"Hola, somos una empresa nueva y estamos interesados en sus servicios de desarrollo de software. ¿Podrían enviarnos un presupuesto detallado? ¡Muchas gracias!"
SOFTWARE,HIGH,EN,Ruzuku,"Ruzuku - Critical Failure, Cannot Launch Program!","I rely heavily on Ruzuku for my online courses, but it's been failing to launch suddenly! I've already tried reinstalling without success. I urgently need assistance to resolve this, as deadlines are approaching swiftly."
ACCOUNTING,MEDIUM,ES,Employee Inquiries::General::HR Questions,Solicitud de actualización y problema menor en software,"Estimado equipo de soporte,
He descubierto un bug en la versión actual del software que estoy utilizando. Aparte de eso, me gustaría saber los costos de la actualización a la nueva versión. También tengo un problema menor con la funcionalidad del dispositivo. Adicionalmente, necesito una factura. Un saludo cordiales,
Cliente #123456789"
HARDWARE,MEDIUM,DE,Millimeter Wave Antenna,Millimeter Wave Antenna Anzeigeprobleme,Unser Gerät zeigt nach dem Update Schwierigkeiten mit der Signalstärke. Bitte um Überprüfung.
SOFTWARE,HIGH,ES,Student Information System,URGENTE: El sistema SIS no carga - Necesito acceso inmediato,"Hola soporte, el Sistema de Información Estudiantil no carga. Tengo una carga importante de datos hoy, necesito ayuda urgente."
SOFTWARE,HIGH,DE,SaltStack,"Dringend - Sicherheitslücke SaltStack, Update dringend erforderlich","Sehr geehrtes Support-Team, wir haben eine kritische Sicherheitslücke in SaltStack gefunden und benötigen dringend ein Update oder einen Fix. Dies gefährdet unsere gesamte Infrastruktur. Bitte um sofortige Unterstützung."
SOFTWARE,LOW,DE,Route Planning,Kleine Änderung bei der nächsten Rechnung,"Liebes Support-Team, könnt Ihr bei meiner nächsten Rechnung bitte den Unternehmensnamen 'XYZ Logistics' statt 'XYZ GmbH' angeben? Es hat keine große Eile. Außerdem wollte ich positiv erwähnen, dass eure Software Route Planning super funktioniert, und vielleicht könntet ihr mich über zukünftige Updates informieren? Danke!"
ACCOUNTING,MEDIUM,EN,Employee Inquiries::Technical::Software Issues,Inquiry: Software Update and Bug Report,"Dear Support Team, I noticed a small bug after updating to the latest version of your software. Additionally, I need an updated invoice reflecting this month's subscription. Please address these concerns. Thank you!"
ACCOUNTING,HIGH,FR,Customer Inquiries::Data Privacy Inquiries,Demande urgente concernant la confidentialité des données,"Bonjour, je suis préoccupé par une possible fuite de données sur votre site web. Avez-vous récemment rencontré des vulnérabilités de sécurité? J'ai remarqué une activité suspecte auprès de mes données personnelles."
SOFTWARE,MEDIUM,ES,Sales Automation,Problema con Sales Automation – Error versión actual,He notado un error en la versión actual de Sales Automation. Algunas funciones no responden. Necesito información sobre actualización.
SOFTWARE,HIGH,EN,WhatsApp Desktop,URGENT: WhatsApp Desktop won't launch after update,"Hi Support, After updating WhatsApp Desktop on my PC, the program refuses to start. I rely on this app for work communications and it's critical to have it running. Please assist ASAP. User ID: 123456789"
SOFTWARE,MEDIUM,ES,GitHub,Problema al actualizar GitHub,"Hola equipo de soporte,

Utilizo GitHub y he notado un pequeño error en la última versión. Cada vez que intento hacer una 'pull request', la aplicación lanza un error inesperado. ¿Pueden asesorarme sobre cómo solucionarlo? Necesito un informe rápido para mi equipo."
SOFTWARE,HIGH,ES,Wix,URGENTE: Mi plataforma Wix no carga después del último update,"Estimados, he realizado el último update en mi cuenta Wix y ahora la plataforma no carga en absoluto. Necesito acceder inmediatamente para terminar un proyecto urgente. ¿Pueden solucionarlo a la brevedad?"
HARDWARE,HIGH,DE,Bluetooth Speaker,Dringend: Bluetooth Speaker – Lautsprecher lässt sich nicht einschalten,"Hallo Support-Team, ich habe gestern bei einem Kundenevent Ihre Bluetooth Speaker verwendet und nach dem neusten Firmware-Update lässt sich das Gerät nun nicht mehr einschalten. Wir benötigen die Lautsprecher dringend für tägliche Bürokommunikation und Meetings – bitte schnelle Lösung. Die Gerätenummer ist #SPKR137846."
HARDWARE,MEDIUM,EN,Google Nest Wifi Router,Issue with Google Nest Wifi Router,"Hi Support Team, I'm facing an issue with my Google Nest Wifi Router. Occasionally, the connection drops, and I need to restart the device. It's becoming quite inconvenient. I've updated the firmware to the latest version, but the problem persists. Could you provide a solution or suggest if there's a known bug? Thank you for your assistance. Looking forward to your prompt reply. Best, Richard Stevens, Customer ID 24367589"
SOFTWARE,MEDIUM,ES,Disaster Recovery,Disaster Recovery - Solicitud de ayuda y aplicacion de actualización,"Hola, noté un problema en la última actualización del software Disaster Recovery. ¿Podrían revisarlo y aplicar un parche si es necesario? Más info: Versión 3.5.2, ID de cliente 49302. Gracias."
SOFTWARE,HIGH,DE,Investor Relations,Dringend: Software Investor Relations startet nicht,Meine Software Investor Relations startet plötzlich nicht mehr. Brauche Hilfe!
SOFTWARE,HIGH,EN,IBM Commerce,IBM Commerce not starting after update,"Hello Team,

After the recent security update, our IBM Commerce application isn’t starting anymore. We heavily rely on this software for our daily operations. Attempts to restart and reinstall failed. Immediate assistance is required as our business is at a standstill.

Looking forward to a quick fix."
ACCOUNTING,MEDIUM,DE,Employee Inquiries::Accounting::Supplier Invoices,Unbeantwortete Support-E-Mail,"Liebes Support-Team, ich schreibe Ihnen wegen eines kleinen Fehlers, den ich in unserer Abrechnungssoftware entdeckt habe. Zudem habe ich eine frühere Anfrage zu Lieferantenrechnungen gestellt, die leider noch nicht beantwortet wurde. Könnten Sie dies bitte überprüfen? Vielen Dank."
SOFTWARE,HIGH,EN,Affiliate Marketing,Affiliate Marketing Software - Can't Access the Dashboard,"Hello Support Team,
I'm unable to access my Affiliate Marketing dashboard. This software is critical for my day-to-day operations. I need an urgent fix. Here's my Customer ID: 785923. Can you please help?"
HARDWARE,MEDIUM,EN,Aspire Laptop,Aspire Laptop - Strange Bug after New Update,"Hello Support Team, I've been using my Aspire Laptop regularly, and after installing the latest software update, I've noticed a strange bug where the screen sometimes flickers and freezes. It's been quite annoying, and I'd appreciate any advice or fix for this issue. Thank you in advance."
HARDWARE,LOW,ES,NUC,Sugerencia para actualización de NUC y cambio en la factura,"Estimado equipo de soporte, Quería saber si habría posibilidad de que incluyan un pequeño cambio en mi próxima factura: podría ser posible que mi empresa figure como "
SOFTWARE,MEDIUM,ES,LibreOffice,Actualización necesaria en LibreOffice,Me he dado cuenta de un error en LibreOffice. ¿Podría solucionarlo?
SOFTWARE,HIGH,ES,Linux Ubuntu 22.04,"Ubuntu 22.04 - Sistema hackeado, ayuda urgente necesaria",Mi Ubuntu 22.04 parece haber sido hackeado. No puedo trabajar y necesito asistencia inmediata.
SOFTWARE,HIGH,ES,Google Cloud Platform (GCP),Problema grave - Google Cloud Platform comprometido,"Querido Soporte, mi cuenta de Google Cloud Platform parece haber sido comprometida y recibir ataques. He notado actividad inusual en nuestros servidores. Necesitamos ayuda urgente para resolver esto."
SOFTWARE,HIGH,EN,McAfee Total Protection 2021,Urgent: Security Issue with McAfee Total Protection 2021,"Hi Support Team, I urgently need your assistance. My security software, McAfee Total Protection 2021, has detected a serious security vulnerability but is unable to fix it. My personal and company's sensitive data are still at risk. I rely on this software for daily operations. Please resolve this issue as quickly as possible!"
HARDWARE,LOW,ES,Thermal Paste,Consulta sobre posible actualización de mi sistema,"Hola, me preguntaba si puede realizar una pequeña modificación en mi próxima factura y si mi sistema necesita actualización."
SOFTWARE,MEDIUM,DE,RabbitMQ,RabbitMQ Software - Fehler in der Version 3.9,"Guten Tag, mir ist ein Bug bei RabbitMQ 3.9 aufgefallen. Nachrichten gehen verloren, und das System hängt sich manchmal auf. Bitte um Überprüfung."
ACCOUNTING,HIGH,DE,Employee Inquiries::Staff Development::Career Counseling,Dringende Rechnungsanfrage für Steuerberatung - Schließung in Kürze,"Sehr geehrtes Team, ich benötige dringend eine Kopie meiner letzten Rechnung mit all erbrachter Leistungen, um meine Steueranmeldung abzuschließen. Die Büros schließen bald. Bitte schicken Sie diese bis heute Abend. Vielen Dank!"
ACCOUNTING,MEDIUM,DE,Employee Inquiries::General,Angebotsnachfrage für Software-Entwicklung,"Sehr geehrtes Team, unser Unternehmen ist auf der Suche nach einem Entwicklerteam für eine neue Software, die wir intern verwenden möchten. Können Sie mir diesbezüglich ein Angebot mit den groben Projektkosten schnüren? Auf zusätzliche Details gehe ich gerne bei einem späteren Austausch ein. Grüße, Max Mustermann"
HARDWARE,MEDIUM,EN,Belkin Ultra HD High Speed HDMI Kabel,Issue with Belkin Ultra HD High Speed HDMI Cable,"Dear Support Team,

I have been experiencing minor issues with my Belkin Ultra HD High Speed HDMI Cable. There seems to be intermittent signal loss when streaming 4K content. I have tried re-seating the cables but the problem persists. Could you please advise on potential solutions or replacement options? 

Thank you."
SOFTWARE,MEDIUM,FR,Student Information System,Demande de mise à jour - Bug logiciel,"Bonjour, j'utilise actuellement le système d'information étudiant version 2.3.1, et j'ai remarqué un bogue qui ralentit certaines fonctions. Pourriez-vous vérifier cela et également m'informer de la disponibilité d'une mise à jour vers une version plus récente, si elle est disponible ? Merci."
HARDWARE,MEDIUM,ES,Formlabs Form 3,Problema con Formlabs Form 3,"Hola, tengo un problema con mi Form 3 de Formlabs. Al imprimir, la máquina se detiene inesperadamente y muestra un error en pantalla. ¡Por favor, podríais ayudarme a solucionarlo? Gracias."
SOFTWARE,HIGH,DE,Odoo,Sicherheitslücke in Odoo – dringend!,"Sehr geehrtes Support-Team, beim Arbeiten mit Odoo habe ich eine ernstzunehmende Sicherheitslücke festgestellt. Ich befürchte, dass unbefugte Zugriffe möglich sind. Dies erfordert eine sofortige Untersuchung und ein Security-Update! Bitte dringend kümmern!"
SOFTWARE,MEDIUM,EN,FatCow,FatCow - Updaterequest und Bugmeldung,"Hello FatCow Support Team,
we need to upgrade to the latest version of FatCow since we've encountered multiple bugs affecting functionalities. Additionally, our widgets keep crashing unexpectedly and restart needs often. Provide the updates and fixes."
HARDWARE,MEDIUM,EN,Lexar Professional 2000x SDXC UHS-II Card,Issue with Lexar Professional 2000x SDXC UHS-II Card,"I recently purchased a Lexar Professional 2000x SDXC UHS-II Card and have been experiencing minor errors while trying to transfer files. Despite multiple attempts, the transfer speed seems inconsistent. Can I get a solution or replacement? Thanks!"
ACCOUNTING,HIGH,EN,Customer Inquiries::Update Requests,URGENT: Immediate Update Required,"Dear support team, I recently discovered a serious security vulnerability in your accounting software. It threatens sensitive client data if not addressed swiftly. Anticipating an immediate patch update to rectify this issue. Regards, Adam."
HARDWARE,HIGH,EN,Smart-Ladestation,Unable to Operate Smart Charging Station After Firmware Update,"Dear Support Team, After a recent firmware update, my Smart Charging Station no longer powers up. It is critical for my electric vehicle. I have tried resetting and followed the troubleshooting guide but with no success. Urgent assistance is required. My client number: 083429FEB. Please help."
HARDWARE,LOW,EN,Bose QuietComfort 35 II Gaming Headset,Question about future updates for Bose QC35 II Gaming,"Hi Support Team, I’ve been using the Bose QuietComfort 35 II Gaming Headset for a while and I might consider an update in the future. Also, could you let me know if it’s possible to specify a different company name on my next invoice? Not urgent at all. Thanks for the help!"
ACCOUNTING,LOW,FR,Customer Inquiries::Security Inquiries,Demande d'opinion sur la prochaine facture - réduction,"Bonjour, j'ai remarqué un léger problème avec votre logiciel. Pensez-vous que je pourrais avoir un tarif réduit d'une part par nous à Loyalty Programme. En passant, peut-être que notre prochaine facture sous le nom Distribution HK? N'hésitez pas à me contacter."
HARDWARE,MEDIUM,ES,QNAP TS-453D NAS,Problemas con configuración de QNAP TS-453D NAS,"Hola equipo de soporte,
He notado un problema con mi dispositivoQNAP TS-453D NAS. Tras una actualización reciente del software, las transferencias de archivos se han vuelto increíblemente lentas.Necesito apoyo para saber si hay alguna solución a este problema y pasos detallados sobre cómo puedo revertir, si fuese necesario, a la versión anterior del software. Agradezco de antemano su ayuda. Saludos, Juan P."
SOFTWARE,HIGH,EN,Risk Management,"Risk Management - Unable to access software, urgent!","Hello Support Team, I am unable to access the Risk Management software on my computer. I urgently need it for a very important project due tomorrow. Please help ASAP! Thank you."
ACCOUNTING,LOW,EN,Customer Inquiries::Returns,Request for Invoice Update,"Hi Team,
I recently received an invoice (#INV-12345) for my last order. I need to request a small name change on the billing statement to reflect our updated company name. There's no rush, take your time. Additionally, could you let me know if an offer for our next purchase might be possible? Thanks!"
SOFTWARE,HIGH,ES,Ableton Live 11 Suite,URGENTE: Problema grave con Ableton Live 11 Suite,"Hola, necesito asistencia urgente con Ableton Live 11 Suite. Cada vez que intento abrirlo, la aplicación se bloquea y no me permite trabajar. Tengo un proyecto importante que finalizar y esto me está causando problemas serios. ¿Podrían ayudarme rápidamente, por favor?"
SOFTWARE,HIGH,EN,ServerMania,URGENT: ServerMania unreachable due to crash,"Hi, my ServerMania instance has crashed and I cannot access it anymore. This is critical for running our business operations. Attempting to restart or recover hasn't worked. It’s urgent—please prioritize this issue and provide immediate assistance."
SOFTWARE,HIGH,EN,Threat Intelligence,Threat Intelligence - Critical Security Vulnerability,"Our security team has detected a critical vulnerability in Threat Intelligence software we use. This issue is affecting our system's safety, and an immediate fix is urgent. Can you prioritize this and provide timely assistance to secure our network? This is a severe threat, and time is of the essence."
HARDWARE,MEDIUM,DE,Dynamisches Mikrofon,Akkuproblem mit meinem dynamischen Mikrofon,"Sehr geehrte Damen und Herren, ich habe seit einer Woche ein dynamisches Mikrofon von Ihnen im Einsatz, jedoch bemerke ich, dass der Akku sich extrem schnell entlädt. Ich habe keine Effekte oder zusätzliche Hardware aktiviert. Können Sie mir bitte eine Lösung oder möglichen Garantieanspruch mitteilen? Mit freundlichen Grüßen, M. Schmidt"
SOFTWARE,HIGH,EN,Excel 2021,Urgent Crash Issue with Excel 2021,"Hello Support Team, My Excel 2021 keeps crashing every time I try to open it. I’ve tried multiple solutions: reinstalling, clearing temp files, but nothing has worked. This is critical for my financial reports, and I can't accomplish my work. Please assist ASAP!"
ACCOUNTING,MEDIUM,EN,Employee Inquiries::IT Support,Invoice request for recent software update,"Dear IT Support Team, I recently purchased and installed the latest version of your software for our company. However, I haven't yet received the invoice for this transaction. Could you please provide it at your earliest convenience? Thank you for your assistance. Regards, Maria Johnson (Customer ID: 489274)."
SOFTWARE,HIGH,EN,PTC Creo,Urgent - PTC Creo not starting,My PTC Creo won't start after recent update. I need it for today's project.
SOFTWARE,HIGH,DE,JIRA,Dringend: JIRA lässt sich nicht starten,"Hallo Support-Team, ich habe ein großes Problem mit JIRA. Die Software lässt sich plötzlich nicht mehr starten, und ich benötige sie dringend für die Kundenverwaltung. Die Fehlermeldung lautet 'Startup failed'. Ich habe bereits zweimal neu installiert, aber ohne Erfolg. Brauche dringend Hilfe!"
ACCOUNTING,HIGH,ES,Customer Inquiries::Payments,Requerimiento urgente: Modificación en Factura,"Hola, necesito ajustar urgentemente una factura emitida el 05/Oct/2023 (Factura #: INV-500823xm) porque contiene errores críticos de pago. Esta corrección es crucial para la presentación de impuestos y abarca errores que implican grandes montos. Agradecería su pronta respuesta."
SOFTWARE,LOW,EN,Google Keep,Small Inquiry About Next Invoice Name,"Hello Team, I have a small favor to ask regarding my next invoice. Can we use 'Innovative Solutions Inc.' instead of my personal name? It's not urgent, I just wanted to have my business name on record. Everything else with Google Keep is working perfectly fine. Thank you!"
SOFTWARE,MEDIUM,EN,IFTTT,Request for Update to New IFTTT Version,"Hello Support, I've noticed a bug in IFTTT. Can you provide an update to the latest version to fix it?"
SOFTWARE,LOW,ES,ScalaHosting,Cambio en la factura de ScalaHosting,"Hola equipo, espero que estén bien. En mi próxima factura de ScalaHosting, ¿podrían cambiar el nombre de la empresa a 'Tecnologías Avanzadas S.A.'? Además, me pregunto si podría recibir una oferta de actualización. ¡Gracias de antemano!"
SOFTWARE,MEDIUM,EN,Serum,Bug in Serum software after update,"Hello support team,
I recently updated my Serum software to the latest version and now I'm noticing a bug when trying to export files. The application freezes. Could you please look into this issue?"
HARDWARE,HIGH,EN,Joystick,URGENT: Joystick Not Responding!,"I rely on my joystick for work simulations, but it stopped responding today. Tried multiple fixes with no success. Need immediate help!"
HARDWARE,MEDIUM,FR,Smart-Luftreiniger,Le purificateur d'air intelligent a cessé de fonctionner,"Cher support, mon purificateur d'air intelligent a cessé de fonctionner correctement. Il ne se connecte plus à mon réseau Wi-Fi et l'écran tactile est assez peu réactif. Pouvez-vous m'aider à résoudre ce problème rapidement ? Merci de votre réponse rapide."
SOFTWARE,MEDIUM,EN,SQL Server 2019,Bug in SQL Server 2019 - Needs Resolution,"Hi Support, I've recently discovered a bug in SQL Server 2019 that intermittently affects my work. I've tried troubleshooting as per guidelines but no luck. How can we resolve this issue? Thanks."
HARDWARE,MEDIUM,FR,Kondensatormikrofon,Problème avec le microphone à condensateur - demande d'aide,"Bonjour, j'utilise un microphone à condensateur acheté chez vous, et j'ai remarqué un léger problème : il y a des bruits parasites intermittents lors des enregistrements. Pouvez-vous m'aider à le résoudre ? Voici le numéro de commande : CM00582367. Merci d'avance pour votre assistance."
SOFTWARE,HIGH,EN,Transaction Monitoring,Transaction Monitoring software not accessible - Urgent!,"Dear Support Team, I've encountered a significant issue with the Transaction Monitoring software. It's completely inoperable; I cannot access it at all. This situation impacts my daily operations, and immediate assistance is needed. Is there a way to urgently fix this? If required, a remote session can be arranged."
SOFTWARE,HIGH,FR,MetaMask,Urgent! Impossible de se connecter à MetaMask,"Je ne peux plus accéder à mon compte MetaMask. Besoin d'aide urgente, essentiel pour mon travail!"
SOFTWARE,HIGH,EN,Email Tracking,Email Tracking software not working,Our Email Tracking software crashed and won't start again—urgent assistance required.
SOFTWARE,MEDIUM,DE,Inventor,Anfrage: Angebot für Software-Entwicklung mit Inventor,"Sehr geehrtes Team, wir sind auf der Suche nach einem neuen Softwarepartner, der uns bei der Entwicklung von Tools und Anwendungen mit Inventor unterstützt. Könnten Sie uns bitte ein Angebot für die Software-Entwicklung zusenden? Eine Rechnung wäre auch nötig. Vielen Dank!"
ACCOUNTING,HIGH,DE,Employee Inquiries::Accounting::Travel Expenses,Dringende Anfrage wegen Reisekostenbelegänderung,"Guten Tag, ich habe dringende Probleme mit der Abrechnung meiner Reisekosten. Die Belege wurden falsch verbucht! Bitte um sofortige Korrektur, da mein Ausgleich gefährdet ist. Benötige korrekt verbuchte Rechnung für die Buchhaltung!"
HARDWARE,HIGH,EN,Glucose Monitor,URGENT: Glucose Monitor not powering on,"Hello Support Team. My Glucose Monitor, which I rely on daily for my diabetes management, suddenly won't turn on despite being fully charged. I’ve replaced the batteries and attempted a reset, but to no avail. This is extremely urgent as I need the monitor for accurate tracking. Can someone assist me immediately to resolve this issue?"
HARDWARE,HIGH,EN,Noctua NH-D15 Cooler,Noctua NH-D15 Cooler Fan Issue – Urgent Assistance Needed,"I am having issues with my Noctua NH-D15 cooler. The fan isn't spinning, causing my system to overheat. I need urgent help as my workflow depends on this setup heavily. Can you assist immediately?"
SOFTWARE,MEDIUM,FR,Signal,Mise à jour nécessaire pour nouvelle version Signal,"Bonjour, j'utilise votre logiciel Signal et j'ai remarqué un bug récurrent. Mon appareil présente un petit défaut et j'aurais besoin d'une mise à jour vers la version la plus récente pour le résoudre. Pourriez-vous également me fournir une facture mentionnant la mise à jour? Merci, Cordialement."
ACCOUNTING,HIGH,DE,Employee Inquiries::IT Support::Network Issues,Benötige dringend OP-Leitung Passwort zurücksetzen,Unser Hauptserver wurde kompromittiert und ich brauche Administrator-Privilegien dringend zurückgesetzt.
SOFTWARE,HIGH,FR,AML Compliance,Problème critique avec AML Compliance - aide urgente requise,"Bonjour, mon logiciel AML Compliance refuse de démarrer soudainement et j'en ai un besoin crucial pour mon travail quotidien. Toutes mes tentatives de dépannage ont échoué. Votre intervention d'urgence est nécessaire."
SOFTWARE,LOW,ES,Influencer Marketing,Solicitud de posible actualización en Influencer Marketing,"Hola equipo, solo quería decir que estoy bastante satisfecho con su software 'Influencer Marketing'. Sin embargo, preguntaba si tal vez sería útil tener una pequeña actualización sistémica. No es algo urgente ni crítico, pero solo algo que estaba curioso. Además, ¿es posible que en mi próxima factura pudiera incluir un nombre empresarial diferente? Gracias por su excelente servicio, disfruto usar su producto."
SOFTWARE,HIGH,DE,Sage Accounting,Dringend: Nur noch Fehler in Sage Accounting,"Kann Sage nicht nutzen, zeigt ständig seltsame Fehler."
SOFTWARE,HIGH,EN,Sales Forecasting,Urgent: Sales Forecasting software issue – Cannot launch,"Dear Support, I urgently need assistance with my Sales Forecasting software as it suddenly won't launch. I've tried rebooting and reinstalling but keep facing the same issue. It is critical for my daily operations, please respond as soon as possible. Customer ID: 927563"
SOFTWARE,LOW,EN,Fleet Management,Fleet Management Update Question,"Hi Team, 
 
I'm using Fleet Management and think it might be time for an update. Not urgent, just a thought. Also, could you say if the next invoice could show my new company name: LogiCorp?
 
Thanks"
SOFTWARE,MEDIUM,EN,Marketing Automation,Software Update Assistance: Marketing Automation v2.3,"Hi Support Team, I need help updating our Marketing Automation software to the latest version. We encountered a minor bug that's affecting our outreach campaigns."
HARDWARE,MEDIUM,DE,DDR4 RAM,Problem mit DDR4 RAM - Leistungseinbußen,"Ich verwende DDR4 RAM in meinem neuen PC, den ich vor etwa 6 Monaten bei Ihnen gekauft habe. Seit kurzem bemerke ich deutliche Leistungseinbußen, insbesondere bei komplexeren Anwendungen. Ich habe bereits den Sitz der Module überprüft, könnte es sich um einen Defekt handeln? Bitte um Hilfe."
SOFTWARE,HIGH,ES,Ubuntu 20.04 LTS,URGENTE - Problemas graves con Ubuntu 20.04 LTS,"Hola soporte, mi equipo con Ubuntu 20.04 LTS no funciona después de la última actualización de seguridad. Es crucial que sistema esté operativa debido a proyectos urgentes que tengo.Es posible que hayan hackeado mi sistema, ya que noté actividad extraña. Necesito una solución rápida para volver a trabajar. ¡Ayuda urgente!"
SOFTWARE,MEDIUM,DE,Balancer,Anfrage zur neuen Version von Balancer,"Guten Tag,

ich verwende die Software Balancer und benötige ein Update auf die neueste Version, da mir ein Bug in der aktuellen Fassung aufgefallen ist. Mein Gerät hat einen kleinen Fehler und ich vermute, dass das Update dies beheben könnte. Können Sie mir bitte eine Anleitung zum Update zukommen lassen? Außerdem hätte ich gerne eine Kopie der Rechnung für die ursprüngliche Software.

Danke und Grüße,
Max Mustermann"
SOFTWARE,MEDIUM,ES,Sage Accounting,Solicito actualización de Sage Accounting,"Hola equipo de soporte, me gustaría actualizar mi versión del programa Sage Accounting a la más reciente, pero he encontrado un error al intentar hacer esto. Además, noté que algunas de mis preguntas previas no han sido respondidas. Gracias por su atención."
HARDWARE,MEDIUM,EN,Surveillance System,Issue with Surveillance System Firmware,"Dear Support,
I have encountered a minor bug with my surveillance system's firmware. The cameras occasionally lose connection for a few seconds then reconnect. This happens 2-3 times a day. Could you please provide a firmware update? I'm using model SS-2021A. Thank you, Customer #45678."
SOFTWARE,LOW,EN,Warehouse Management,Request for minor billing update,"Dear Support Team, I'm currently using the Warehouse Management software and it's working out great for us. I was just wondering if a small change could be made to our next invoice. Could you please ensure that the next invoice reflects our updated company name, 'LogiTech Innovations'? It's not urgent, just a minor update that's needed. Looking forward to your response. Best regards, Alex."
SOFTWARE,HIGH,EN,Production Planning,Urgent: Production Planning software crashing repeatedly,Our Production Planning software keeps crashing during crucial operations. Restart doesn't resolve the issue. Immediate assistance required!
ACCOUNTING,HIGH,DE,Employee Inquiries::Legal Inquiries::Labor Law,Dringende Rechtsfrage - Arbeitsrecht,"Sehr geehrtes Support-Team, ich brauche dringend Beratung zum Arbeitsrecht und rechtlichen Fragen zu einem Projektvertrag."
HARDWARE,HIGH,FR,Robot Mop,Robot Mop ne s'allume pas - Besoin urgent d'aide !,J'ai récemment acheté un Robot Mop auprès de votre site et il ne s'allume plus du tout. J'ai essayé plusieurs prises de courant mais rien ne fonctionne. Je comptais sur ce robot pour l'entretien avant une grande réception ce weekend. Pouvez-vous m'aider en urgence ? Mon numéro client est 29874 et l'ID de commande est RM123987.
SOFTWARE,HIGH,DE,Host1Plus,Dringende Hilfe benötigt - Host1Plus startet nicht,Host1Plus startet nicht - benötige sofortige Unterstützung!
SOFTWARE,HIGH,EN,System Utilities,Critical Security Issue with System Utilities,"Dear Support,
I've discovered a severe security vulnerability in your System Utilities software. Hackers can easily exploit it, compromising data on our central server, which is running pivotal operations. We urgently need a security patch to protect our systems. Please address this issue immediately.
Best,

Jon Doe"
HARDWARE,MEDIUM,EN,Soldering Station,Issue with Soldering Station's temperature settings,"Hello team, I've noticed a bug with the temperature settings on my new soldering station. The readings are quite inconsistent. Can you provide an update or fix this?"
ACCOUNTING,HIGH,DE,Employee Inquiries::General::Administrative Inquiries,"Wichtige Anfrage: Konto gehackt, dringende Unterstützung benötigt","Hallo Support-Team, ich habe bemerkt, dass mein Konto gehackt wurde, und ich habe unbefugte Transaktionen festgestellt. Ich brauche dringend Ihre Hilfe, um mein Konto zu sichern und die unautorisierte Verwendung zu untersuchen. Bitte kontaktieren Sie mich umgehend. Danke!"
ACCOUNTING,MEDIUM,EN,Customer Inquiries::Payments,Request for Software Upgrade and Quotation,"Dear Support Team, I noticed a bug and would like to request an upgrade to the new software version. Additionally, could you provide me with a quote for software development services? Thank you, Customer #4506"
SOFTWARE,MEDIUM,EN,Lifesize,Bug report in Lifesize software,"Hello support team, 
I've been using Lifesize software and encountered a minor bug. Occasionally, the screen sharing feature stops working and I'm forced to restart the application. It's not critical but quite inconvenient. Could you provide a fix in the next update? Thanks."
ACCOUNTING,HIGH,EN,Customer Inquiries::Contract Questions,Urgent: Contract Termination Enquiry,"Hello Support Team, I've urgently filed for contract termination but haven't received any confirmation yet. I suspect my account may have been compromised. Can you verify the status at the earliest and provide the necessary transaction details?"
